,zip_code,item_description,bottles_sold
0,50010.0,Member's Mark Spiced Rum,288
1,50022.0,Paramount Triple Sec,4
2,50111.0,Saints N Sinners Apple Pie,108
3,50131.0,Platinum 7x Vodka,48
4,50158.0,Hennessy VS,24
5,50158.0,Kahlua Coffee,3
6,50158.0,Kamora Coffee Liqueur,6
7,50263.0,Jagermeister w/2 Shot Glasses,84
8,50265.0,Kahlua Coffee,72
9,50266.0,Avion Silver w/Powell & Mahoney Margarita Mix,90
10,50314.0,Hennessy Vs Cognac,60
11,50314.0,Juarez Triple Sec,240
12,50314.0,Paul Masson Peach Grande Amber Brandy,24
13,50314.0,Remy Martin VSOP,24
14,50316.0,Hennessy VS,48
15,50317.0,Paul Masson Peach Grande Amber Brandy,24
16,50320.0,Di Amore Quattro Orange,120
17,50320.0,Glen Oaks Whiskey Buy the Barrel,66
18,50320.0,Tortilla Gold Dss,72
19,50327.0,Bacardi Gold Rum PET,102
20,50401.0,Ole Smoky Blackberry Moonshine Mini,48
21,50401.0,Ole Smoky Salty Caramel Whiskey,18
22,50461.0,Five O'clock Vodka,30
23,50501.0,Titos Vodka,108
24,50588.0,Phillips Root Beer Schnapps,4
25,50662.0,Ole Smoky Apple Pie Moonshine 70prf Mini,8
26,50701.0,Bacardi Gold,7
27,50701.0,Bacardi Gold Mini,4
28,50701.0,Dekuyper Triple Sec,2
29,50702.0,HA Elijah Craig Cask Barrel Proof,18
30,50702.0,Tortilla Gold Dss,768
31,50703.0,Bacardi Gold,1
32,50703.0,Hennessy VS,24
33,50703.0,Pinnacle Peach w/ Punch Dispenser,180
34,50703.0,Seagrams Extra Smooth,24
35,50707.0,Jameson,60
36,50801.0,Bacardi Gold Rum,5
37,51106.0,Juarez Triple Sec,144
38,51106.0,Kahlua Coffee Liqueur,240
39,51106.0,Kapali Coffee Liqueur,84
40,51246.0,Arrow Spearmint Schnapps,5
41,51247.0,Dekuyper Triple Sec,6
42,51360.0,Tortilla Gold Dss,48
43,51401.0,Bacardi Gold Mini,12
44,51401.0,Basil Hayden Dark Rye,18
45,51401.0,Paramount Sloe Gin,4
46,51501.0,99 Peppermint Mini,2
47,51501.0,Bacardi Gold Mini,4
48,51501.0,Juarez Triple Sec,48
49,51501.0,Kahlua Coffee,7
50,51555.0,Paramount Gold Rum,2
51,52001.0,Kamora Coffee Liqueur,4
52,52003.0,Bacardi Gold Rum Mini,5
53,52136.0,Five O'clock Vodka,2
54,52172.0,Kahlua Coffee,1
55,52240.0,Juarez Triple Sec,60
56,52240.0,Templeton Rye,18
57,52241.0,Bacardi Gold,1
58,52241.0,Maestro Agavero Gold,48
59,52314.0,Juarez Gold Dss,1560
60,52338.0,Cedar Ridge Single Malt Single Barrel Select,90
61,52402.0,Montezuma Triple Sec,216
62,52402.0,Paramount Gold Rum,7
63,52411.0,Everclear Alcohol,36
64,52556.0,Juarez Triple Sec,6
65,52601.0,Five O'clock Vodka,48
66,52601.0,Hennessy VS,24
67,52627.0,Kapali Coffee Liqueur,36
68,52732.0,Paramount Gold Rum,24
69,52761.0,Dekuyper Peachtree,4
70,52803.0,Everclear Alcohol,3
71,52804.0,Martell VSSD,2
